Start Time, 2026-04-01 00:00:00
End Time, 2026-04-30 23:59:59
Campaign ID,Campaign Name,Campaign Status,campaign_type,Campaign Budget,Budgeting Type,Ad Spend,Views,SUM(clicks),Total converted units,Total Revenue (Rs.),ROI,Click Through Rate,Conversion Rate
D6YQEL1KVSVC,CPC-SLOW SELLING-30-3-2026,TOTAL_BUDGET_MET,PLA,150000.0,TOTAL_BUDGET,118380,3063456,67179,69.0,148470.0,1.254181449569184,0.021929154523518537,0.0010271066851248159
ALAC7NEOY85N,CPC-HN-SHoe Organiser-26-11-2025,DAILY_BUDGET_MET,PLA,1000.0,DAILY_BUDGET,71843,3420960,57019,120.0,183343.0,2.5519953231351695,0.01666754361348861,0.0021045616373489536
LICDXYBAPAVL,Boost_Sales_ComputerAccessory 27-11-2025,DAILY_BUDGET_MET,PLA,1000.0,DAILY_BUDGET,70371,1874357,37824,854.0,219985.0,3.1260746614372397,0.020179720298747785,0.022578257191201354
9UYT465C57U3,CPC-Macbook Cases-Fast Moving-2-7-2025,LIVE,PLA,1000.0,DAILY_BUDGET,26700,213052,11073,210.0,153214.0,5.738352059925093,0.05197322719336125,0.018965050121918178
SPDUS7PY7K8Z,Clone of CPC-Mobile Cooler-3-10-2025,DAILY_BUDGET_MET,PLA,800.0,DAILY_BUDGET,26166,333260,11238,73.0,65389.0,2.499006344110678,0.03372141871211667,0.006495817761167468
QOIZWNLFNS3D,CPC-HN-Modular storage organiser-20-11-2025,DAILY_BUDGET_MET,PLA,700.0,DAILY_BUDGET,24532,912409,13174,54.0,112391.0,4.581403880645688,0.01443870018818315,0.004098982844997723
S9TPKRF9L4T3,CPC-HN-Laundry Bag-7-3-2026,DAILY_BUDGET_MET,PLA,500.0,DAILY_BUDGET,21240,701792,7448,85.0,44514.0,2.0957627118644067,0.01061283115225024,0.011412459720730397
H6FNX6JC2IC6,CPC-New Stylus-S3-4-9-2025,LIVE,PLA,800.0,DAILY_BUDGET,20946,354626,14058,397.0,109306.0,5.218466532989591,0.03964176343528111,0.028240147958457817
8ZE4MBB6N7F7,Growth_Campaign_Apr_4kljjmf6twbuuyet,COMPLETED,PLA,500.0,DAILY_BUDGET,17149,402762,8084,89.0,39442.0,2.29995918129337,0.020071406935113046,0.011009401286491836
DQPIN9AX2ZD6,Boost_Sales_TabletAccessories 27-03-2026,LIVE,PLA,800.0,DAILY_BUDGET,15047,359283,10268,519.0,143365.0,9.52781285306041,0.028579142347397456,0.050545383716400466
3LUFZXHWBXVW,ROI-Top performing-20-9-2025,LIVE,PLA,120000.0,TOTAL_BUDGET,14680,705058,13377,123.0,80247.0,5.46641689373297,0.018972907193450753,0.009194886745907155
V8BB3EH5RT6L,CPC-Cleaning Kit-Fast Moving-2-7-2025,LIVE,PLA,1500.0,DAILY_BUDGET,12862,248545,5201,177.0,57614.0,4.479396672368217,0.020925788086664388,0.03403191693905018
VTB01XLT441V,Clone of Top Performance February,LIVE,PLA,80000.0,TOTAL_BUDGET,12698,203571,5781,230.0,62713.0,4.9388092613009915,0.02839795452200952,0.0397855042380211
ZGIR9LZE41ZK,CPC-Lunch Box-2-3-2026,DAILY_BUDGET_MET,PLA,600.0,DAILY_BUDGET,12377,155221,3200,22.0,10737.0,0.8674961622364062,0.020615767196448934,0.006875
796KDP1HHD2X,ROI-Top performing-24-10-2025,LIVE,PLA,210000.0,TOTAL_BUDGET,9531,196920,7259,368.0,93989.0,9.861399643269332,0.03686268535445866,0.050695688111310096
F6MW0VQBLHVT,CPC-Tablet Stand-Low CVR-4-8-2025,LIVE,PLA,600.0,DAILY_BUDGET,8892,458016,3952,73.0,38869.0,4.371232568600989,0.00862851952770209,0.01847165991902834
V4UDUH7SMJVP,CPC-Smart Plug-Fast Moving-30-9-2025,LIVE,PLA,75000.0,TOTAL_BUDGET,8666,172692,3388,43.0,35209.0,4.062889453034849,0.019618743195978967,0.01269185360094451
KTQ75TQP8IBH,CPC-HN-Cloth Rack-17-03-2026,DAILY_BUDGET_MET,PLA,500.0,DAILY_BUDGET,8117,566809,7881,18.0,29108.0,3.586053960822964,0.013904154662328933,0.0022839741149600305
6YKQCA76HIPK,PLA_Campaign-2026-03-02,DAILY_BUDGET_MET,PLA,300.0,DAILY_BUDGET,8030,378137,6424,67.0,32983.0,4.1074719800747195,0.016988551768274462,0.010429638854296389
CMJ9IVBCTQG3,Boost_Sales_RestOfMobileAccessory 27-11-2025,LIVE,PLA,500.0,DAILY_BUDGET,7796,793709,13450,709.0,157314.0,20.178809645972294,0.016945757198167086,0.052713754646840146
77G9C8OVRR6S,CPC-Jupiter Low sale-30-9-2025,LIVE,PLA,300.0,DAILY_BUDGET,7784,399838,4391,90.0,29185.0,3.7493576567317577,0.01098194768881397,0.02049647005237987
S1ZWUEGZV2SQ,ROI-USB Hub-Low CVR-24-9-2025,LIVE,PLA,60000.0,TOTAL_BUDGET,6859,247746,3217,36.0,32379.0,4.720658988190698,0.012985073421972504,0.011190550202051602
HJ7N4S3WLFRY,CPC-Cleaning Kit-Less Clicks-4-8-2025,DAILY_BUDGET_MET,PLA,300.0,DAILY_BUDGET,6649,107238,2127,27.0,16904.0,2.542337193562942,0.019834387064286915,0.012693935119887164
TPXACV8RIDMK,ROI-OTG Adapter-6-11-2025,LIVE,PLA,60000.0,TOTAL_BUDGET,6596,278742,5373,313.0,68799.0,10.430412371134022,0.019275889532255633,0.05825423413363112
D5N0ZVOXDI9J,ROI-USB Hub-Fast Moving-24-9-2025,LIVE,PLA,56250.0,TOTAL_BUDGET,5923,191869,2927,83.0,33429.0,5.643930440655073,0.015255200162610947,0.0283566791937137
A8IV6KIX3W1D,CPC-Mousepad-Low CVR-2-7-2025,LIVE,PLA,1300.0,DAILY_BUDGET,5914,87642,1449,52.0,25314.0,4.280351707811971,0.016533169028547956,0.035886818495514144
LF0BJ2EMD5VX,QuickCampaign 28-08-2024 06_28,LIVE,PLA,4000.0,DAILY_BUDGET,5716,237247,3151,79.0,53637.0,9.383659902029391,0.013281516731507669,0.02507140590288797
JHP9JK0ZI5AC,ROI-Laptop Stand-Fast Moving-20-8-2025,LIVE,PLA,100000.0,TOTAL_BUDGET,5507,107926,3097,106.0,31113.0,5.649718540039949,0.028695587717510147,0.0342266709719083
XW6U0VXKJ5TG,LTA-CPC-Leather Laptop sleeve-3-9-2025,ABORTED,PLA,300.0,DAILY_BUDGET,5466,90394,2282,20.0,15893.0,2.907610684229784,0.025245038387503596,0.008764241893076249
3BO6DTAQT0GZ,CPC-Shower Filter-22-11-2025,ABORTED,PLA,300.0,DAILY_BUDGET,5379,84471,1314,6.0,5390.0,1.0020449897750512,0.015555634478104912,0.0045662100456621
MN0KQ7WO7XQY,CPC-Monitor Arm-16-10-2025,LIVE,PLA,300.0,DAILY_BUDGET,5114,137276,4371,53.0,111181.0,21.74051622995698,0.03184096273201434,0.012125371768474034
HCIL6QSRQTMF,ROI-Mobile Stand-Fast Moving-25-8-2025,LIVE,PLA,30000.0,TOTAL_BUDGET,4064,176644,1756,97.0,24119.0,5.934793307086614,0.009940898077489187,0.055239179954441914
2E0OX39N9VJG,PCA-ALIENS-MobileHolder,LIVE,SELLER_PCA,300.0,DAILY_BUDGET,3961.0,885674,7922,113.0,34727.0,8.767230497349155,0.008944600383436795,0.014264074728603887
30GX0LG5S60L,PCA-YASH-ALIENS-STYLUS,PAUSED,SELLER_PCA,500.0,DAILY_BUDGET,3890.0,195088,1945,73.0,20050.0,5.154241645244216,0.009969859755597475,0.037532133676092545
PAA2CGEZL3FJ,Boost_Sales_StudyRoomSF 27-03-2026,LIVE,PLA,500.0,DAILY_BUDGET,3703,183142,4028,12.0,14791.0,3.9943289224952743,0.0219938626857848,0.0029791459781529296
H0CJ81932NZY,ROI-Keyguard-24-9-2025,LIVE,PLA,75000.0,TOTAL_BUDGET,3638,98597,6393,271.0,43633.0,11.993677844969763,0.06483970100510157,0.042390114187392455
1KPG70C083PU,CPC-Lunch Bag-17-3-2026,LIVE,PLA,300.0,DAILY_BUDGET,3352,74730,1228,14.0,6247.0,1.8636634844868736,0.0164324902984076,0.011400651465798045
2AKXJPIFWVN7,ROI-AUX Cable-6-11-2025,LIVE,PLA,33750.0,TOTAL_BUDGET,2939,125439,3262,137.0,26720.0,9.091527730520585,0.026004671593364104,0.04199877375843041
97V49NYGJT1F,CPC-Car Duster-16-4-2026,LIVE,PLA,500.0,DAILY_BUDGET,2883,23939,589,21.0,12527.0,4.3451266042317025,0.02460420234763357,0.035653650254668934
90TB8HCU0L60,CPC-Leather Laptop Sleeve-21-4-2026,DAILY_BUDGET_MET,PLA,500.0,DAILY_BUDGET,2713,38200,994,11.0,7300.0,2.69074824917066,0.026020942408376962,0.011066398390342052
EOTK0IBU30QZ,CPC-Mobile stand-8-10-2025,LIVE,PLA,300.0,DAILY_BUDGET,2640,134980,1650,62.0,18304.0,6.933333333333334,0.012224033190102237,0.037575757575757575
LLS4WDJWTJSV,ROI-Cleaning Kit-Low CVR-20-8-2025,LIVE,PLA,70000.0,TOTAL_BUDGET,1865,59889,1254,21.0,10419.0,5.586595174262735,0.020938736662826227,0.016746411483253586
4XAGS1L0DN9T,CPC-Mousepad-Fast Moving-2-7-2025,LIVE,PLA,300.0,DAILY_BUDGET,1810,87070,957,74.0,20899.0,11.546408839779007,0.010991156540714368,0.07732497387669801
09KP2Q2364EG,ROI-Stylus Tip-Fast Moving-8-10-2025,LIVE,PLA,12655.0,TOTAL_BUDGET,1484,58604,794,39.0,10962.0,7.386792452830188,0.013548563238004232,0.0491183879093199
